31.01.2024                                                                                Salida dinámica de lista                                                                                                                                     1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ABC SL                                                                                     Balance de Situación                                                                                                       Hora 10:58:55     Fecha 31.01.2024
Madrid                                                                                                                                                                                                               RFBILA00/73014028E Pág.           1

10                   Tipo de moneda Moneda de sociedad
EUR                  Imptes en Euro (moneda de UE a partir 01.01.1999)
2023.01 -2023.16     Períodos del informe
2022.01 -2022.16     Períodos de comparación
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Posición|Texto p.posición balance/PyG                                 |PlCt|Nº cuenta |Grp.|Cta.grp.|PlC2|Cta.alt.|Soc.|Div.|Área func.|Año|Período|Tp.moneda|Mon.|      TotPerInf|     TotPerComp|Desv. absoluta| Desv.rel.|Desv.rel.|Informe totales|
|2543    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    808.398,01-|    693.611,37-|   114.786,64-|     16,5-|    16,5-|4              |
|254     |Total acreedores comerciales                                 |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  1.357.307,84-|  1.306.092,33-|    51.215,51-|      3,9-|     3,9-|3              |
|254     |----------------------------                                 |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|255     |Otras deudas no comerciales                                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|255     |---------------------------                                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2551    |Administraciones Públicas                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2551    |4750000000 HACIENDA PÚBLICA, ACREEDOR POR IVA                |BERG|4750000000|CONS|475000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     44.012,44-|          0,00 |    44.012,44-|          |     0,0 |               |
|2551    |4751000000 HACIENDA PÚBLICA, ACREEDOR POR RETENCIONES PRACT. |BERG|4751000000|CONS|475100N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     50.853,64-|     38.854,11-|    11.999,53-|     30,9-|    30,9-|               |
|2551    |4751000004 Retenciones judiciales y otros embargos nómina    |BERG|4751000004|CONS|475100N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |        771,57-|          0,00 |       771,57-|          |     0,0 |               |
|2551    |4760000000 ORGANISMOS DE LA SEGURIDAD SOCIAL, ACREEDORES     |BERG|4760000000|CONS|476000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     60.717,68-|     45.906,57-|    14.811,11-|     32,3-|    32,3-|               |
|2551    |4790000000 Pasivos por diferencias temporarias imponibles    |BERG|4790000000|CONS|479000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      2.674,47-|          0,00 |     2.674,47-|          |     0,0 |               |
|2551    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    159.029,80-|     84.760,68-|    74.269,12-|     87,6-|    87,6-|4              |
|2554    |Remuneraciones pendientes de pago                            |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2554    |4650000001 REMUNERACIONES PENDIENTES DE PAGO                 |BERG|4650000001|CONS|465000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     33.014,85-|     10.772,89-|    22.241,96-|    206,5-|   206,5-|               |
|2554    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     33.014,85-|     10.772,89-|    22.241,96-|    206,5-|   206,5-|4              |
|255     |Total otras deudas no comerciales                            |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    192.044,65-|     95.533,57-|    96.511,08-|    101,0-|   101,0-|3              |
|255     |---------------------------------                            |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|25      |Total acreedores a corto plazo                               |    |          |    |        |    |        |    |    |          |   |       |10       |EUR | 35.404.458,97-| 31.800.971,10-| 3.603.487,87-|     11,3-|    11,3-|2              |
|25      |==============================                               |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|2       |T O T A L   P A S I V O                                      |    |          |    |        |    |        |    |    |          |   |       |10       |EUR | 38.540.969,27-| 33.816.149,03-| 4.724.820,24-|     14,0-|    14,0-|1              |
|2       |=======================                                      |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
31.01.2024                                                                                Salida dinámica de lista                                                                                                                                     3
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Op. Integral Vehículos SL                                                                                     Balance de Situación                                                                                    Hora 10:58:55     Fecha 31.01.2024
Madrid                                                                                                                                                                                                               RFBILA00/73014028E Pág.           3

10                   Tipo de moneda Moneda de sociedad
EUR                  Imptes en Euro (moneda de UE a partir 01.01.1999)
2023.01 -2023.16     Períodos del informe
2022.01 -2022.16     Períodos de comparación
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Posición|Texto p.posición balance/PyG                                 |PlCt|Nº cuenta |Grp.|Cta.grp.|PlC2|Cta.alt.|Soc.|Div.|Área func.|Año|Período|Tp.moneda|Mon.|      TotPerInf|     TotPerComp|Desv. absoluta| Desv.rel.|Desv.rel.|Informe totales|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|3       |RESULTADOS DE EXPLOTACION                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3       |=========================                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|31      |Gastos                                                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|31      |======                                                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|312     |Aprovisionamientos                                           |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|312     |------------------                                           |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3121    |Consumo de mercaderías                                       |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3121    |6090008656 Rappels por Servicios Recibidos                   |BERG|6090008656|CONS|609001N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     25.546,23-|     27.255,68-|     1.709,45 |       6,3|     6,3 |               |
|3121    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     25.546,23-|     27.255,68-|     1.709,45 |       6,3|     6,3 |4              |
|3122    |Consumo de materias primas y otras mat. cons.                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3122    |6020000707 Repuestos operativos (REV)                        |BERG|6020000707|CONS|602000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      6.177,49 |      4.121,07 |     2.056,42 |      49,9|    49,9 |               |
|3122    |6120000002 VAR.EXIST. Por diferencia en precio               |BERG|6120000002|CONS|612000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          6,75 |          0,00 |         6,75 |          |     0,0 |               |
|3122    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |      6.184,24 |      4.121,07 |     2.063,17 |      50,1|    50,1 |4              |
|3123    |Otros gastos externos                                        |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3123    |6070000006 Reparación y Siniestros en Operaciones ABS        |BERG|6070000006|CONS|607000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      4.641,95 |      4.389,19 |       252,76 |       5,8|     5,8 |               |
|3123    |6070000103 Penalizaciones absorbidas                         |BERG|6070000103|CONS|607000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      3.246,41 |      2.272,73 |       973,68 |      42,8|    42,8 |               |
|3123    |6070000270 Documentos para operaciones                       |BERG|6070000270|CONS|607000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     30.728,01 |     16.257,17 |    14.470,84 |      89,0|    89,0 |               |
|3123    |6070000461 Limpieza Operativa                                |BERG|6070000461|CONS|607000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |        118,56 |         11,15 |       107,41 |     963,3|   963,3 |               |
|3123    |6070000486 Compras de Materiales para Operativa              |BERG|6070000486|CONS|607000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     42.505,62 |     26.682,45 |    15.823,17 |      59,3|    59,3 |               |
|3123    |6070000488 Compras de Materiales para Operativa              |BERG|6070000488|CONS|607000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     19.230,02 |     11.255,98 |     7.974,04 |      70,8|    70,8 |               |
|3123    |6070000560 Personal Ajeno de Operaciones CPE                 |BERG|6070000560|CONS|607003N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |  2.024.031,69 |  1.294.398,11 |   729.633,58 |      56,4|    56,4 |               |
|3123    |6070000630 Traslados Remoción y movimientos internos         |BERG|6070000630|CONS|607004N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    310.984,77 |    234.240,69 |    76.744,08 |      32,8|    32,8 |               |
|3123    |6070000678 Servicios logísticos externos                     |BERG|6070000678|CONS|607004N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    197.154,85 |    169.396,34 |    27.758,51 |      16,4|    16,4 |               |
|3123    |6070000830 Transporte por Carretera                          |BERG|6070000830|CONS|607001N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    729.340,76 |    602.692,68 |   126.648,08 |      21,0|    21,0 |               |
|3123    |6070008662 Extras por variación de combustible               |BERG|6070008662|CONS|607000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     13.966,84 |     32.156,84 |    18.190,00-|     56,6-|    56,6-|               |
|3123    |6070210678 Servicios logísticos externos                     |BERG|6070210678|CONS|607021N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |      3.426,72 |     3.426,72-|    100,0-|   100,0-|               |
|3123    |6070220678 Servicios logísticos externos                     |BERG|6070220678|CONS|607022N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |      3.426,72-|     3.426,72 |     100,0|   100,0 |               |
|3123    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  3.375.949,48 |  2.393.753,33 |   982.196,15 |      41,0|    41,0 |4              |
|312     |Total aprovisionamientos                                     |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  3.356.587,49 |  2.370.618,72 |   985.968,77 |      41,6|    41,6 |3              |
|312     |------------------------                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|313     |Gastos de personal                                           |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|313     |------------------                                           |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3131    |Sueldos, salarios y asimilados                               |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3131    |6400005701 Personal Propio en Plantilla No Operativo Estruct |BERG|6400005701|CONS|640000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     28.686,93 |          0,00 |    28.686,93 |          |     0,0 |               |
|3131    |6400005703 Personal propio fijo operativo/portuario No Abs   |BERG|6400005703|CONS|640000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |  1.792.257,83 |  1.718.452,10 |    73.805,73 |       4,3|     4,3 |               |
|3131    |6400008668 Retribución Flexible Operativos No Abs            |BERG|6400008668|CONS|640004N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      1.565,44 |          0,00 |     1.565,44 |          |     0,0 |               |
|3131    |6400008669 Retribución Flexible Estructura                   |BERG|6400008669|CONS|640004N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      4.140,00 |      4.114,00 |        26,00 |       0,6|     0,6 |               |
|3131    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  1.826.650,20 |  1.722.566,10 |   104.084,10 |       6,0|     6,0 |4              |
|3132    |Cargas sociales                                              |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3132    |6420006703 Seg Social personal propio fijo operat/port No Abs|BERG|6420006703|CONS|642000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    440.123,20 |    444.511,56 |     4.388,36-|      1,0-|     1,0-|               |
|3132    |6490000340 Formación no bonificada Estructural               |BERG|6490000340|CONS|649001N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |        300,00 |          0,00 |       300,00 |          |     0,0 |               |
|3132    |6490007594 Otros gastos sociales Estructural                 |BERG|6490007594|CONS|649000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,82 |        180,30-|       181,12 |     100,5|   100,5 |               |
|3132    |6490008638 Gastos por pagos en especie Operativo No Abs      |BERG|6490008638|CONS|649000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |      1.539,84 |     1.539,84-|    100,0-|   100,0-|               |
|3132    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    440.424,02 |    445.871,10 |     5.447,08-|      1,2-|     1,2-|4              |
|313     |Total gastos de personal                                     |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  2.267.074,22 |  2.168.437,20 |    98.637,02 |       4,5|     4,5 |3              |
|313     |------------------------                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|314     |Dotaciones para amortizaciones de inmoviliza.                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|314     |---------------------------------------------                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|314     |6800000000 Amort. Del Inmovilizado intangible                |BERG|6800000000|CONS|680000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    387.168,00 |    387.168,00 |         0,00 |       0,0|     0,0 |               |
|314     |6810000000 AMORT. DEL INMOVILIZADO MATERIAL                  |BERG|6810000000|CONS|681000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    161.850,88 |    161.607,00 |       243,88 |       0,2|     0,2 |               |
|314     |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    549.018,88 |    548.775,00 |       243,88 |       0,0|     0,0 |3              |
|315     |Variación de las provisiones de tráfico                      |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|315     |---------------------------------------                      |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3152    |Variación de provisiones y pérdidas créd. in.                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3152    |6500006501 Pérdidas de créditos comerciales incobrables      |BERG|6500006501|CONS|650000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |     10.297,69 |    10.297,69-|    100,0-|   100,0-|               |
|3152    |6940006007 Dotación a la prov. Insolvencias de tráfico       |BERG|6940006007|CONS|694000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     31.823,62 |      5.075,87-|    36.899,49 |     727,0|   727,0 |               |
|3152    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     31.823,62 |      5.221,82 |    26.601,80 |     509,4|   509,4 |4              |
|315     |Total variación de las provisiones de tráfico                |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     31.823,62 |      5.221,82 |    26.601,80 |     509,4|   509,4 |3              |
|315     |---------------------------------------------                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|316     |Otros gastos de explotación                                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|316     |---------------------------                                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3161    |Servicios exteriores                                         |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3161    |6210000072 Arrendamientos naves, Almacenes, Campas y Muelles |BERG|6210000072|CONS|621001N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |  1.227.752,40 |  1.186.234,20 |    41.518,20 |       3,5|     3,5 |               |
|3161    |6210008601 Otros Arrendamientos y Cánones Operativos         |BERG|6210008601|CONS|621002N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    274.420,57 |    285.217,39 |    10.796,82-|      3,8-|     3,8-|               |
|3161    |6210106117 Servicio Puesto cliente                           |BERG|6210106117|CONS|621010N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     62.937,68 |     25.961,32 |    36.976,36 |     142,4|   142,4 |               |
|3161    |6210106140 Gestión Informática Industrial (BYCO)             |BERG|6210106140|CONS|621010N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |     40.561,71 |    40.561,71-|    100,0-|   100,0-|               |
|3161    |6210126141 Servicios Industriales Propio                     |BERG|6210126141|CONS|621012N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      5.155,60 |          0,00 |     5.155,60 |          |     0,0 |               |
|3161    |6210130077 Renting informático Propio                        |BERG|6210130077|CONS|621013N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     85.222,35 |    130.988,67 |    45.766,32-|     34,9-|    34,9-|               |
|3161    |6220000651 Reparaciones y conservación naves-almacenes(pr.ext|BERG|6220000651|CONS|622000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    129.526,68 |    111.118,04 |    18.408,64 |      16,6|    16,6 |               |
|3161    |6220000652 Reparaciones y conservación activos operat(pr.ext)|BERG|6220000652|CONS|622005N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     54.783,25 |     56.511,94 |     1.728,69-|      3,1-|     3,1-|               |
|3161    |6220000654 Otras reparaciones y conservación no relacionados |BERG|6220000654|CONS|622003N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |        260,40 |       260,40-|    100,0-|   100,0-|               |
|3161    |6220076122 Mantenimiento de licencias SAP                    |BERG|6220076122|CONS|622007N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |        234,00 |      4.293,36 |     4.059,36-|     94,5-|    94,5-|               |
|3161    |6220096123 Mantenimiento de licencias otras aplicaciones Prop|BERG|6220096123|CONS|622009N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    106.786,78 |    591.990,00 |   485.203,22-|     82,0-|    82,0-|               |
|3161    |6220106124 Mantenimiento de aplicaciones SAP y otras apl     |BERG|6220106124|CONS|622010N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |         15,16 |          0,00 |        15,16 |          |     0,0 |               |
|3161    |6230000682 Servicios Jurídicos                               |BERG|6230000682|CONS|623008N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |        899,90 |      8.562,73 |     7.662,83-|     89,5-|    89,5-|               |
|3161    |6230000685 Otros servicios Profesionales                     |BERG|6230000685|CONS|623009N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      8.527,65 |     15.364,40 |     6.836,75-|     44,5-|    44,5-|               |
|3161    |6230000686 Servicios Corporativos (GABI)                     |BERG|6230000686|CONS|623003N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     25.008,84 |     18.546,84 |     6.462,00 |      34,8|    34,8 |               |
|3161    |6230002500 Servicios Centrales BISL - REYS                   |BERG|6230002500|CONS|623003N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     70.432,80 |     58.873,44 |    11.559,36 |      19,6|    19,6 |               |
|3161    |6230005710 Cesión de personal operativo No Abs               |BERG|6230005710|CONS|623009N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    231.807,24 |    218.832,12 |    12.975,12 |       5,9|     5,9 |               |
|3161    |6230008612 Gastos recibidos por refacturación de gastos de IT|BERG|6230008612|CONS|623000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     60.303,72 |     50.650,32 |     9.653,40 |      19,1|    19,1 |               |
|3161    |6230008627 Auditores                                         |BERG|6230008627|CONS|623001N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     10.354,41 |      2.476,41 |     7.878,00 |     318,1|   318,1 |               |
|3161    |6230008766 Costes externos Formación Continua (FPE)          |BERG|6230008766|CONS|623000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |      1.058,91 |     1.058,91-|    100,0-|   100,0-|               |
|3161    |6230008877 Servicios prestados por personal no operativo     |BERG|6230008877|CONS|623009N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    119.567,28 |    157.837,08 |    38.269,80-|     24,2-|    24,2-|               |
|3161    |6230076134 Servicios de Consultoria Informática Propio       |BERG|6230076134|CONS|623007N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |        276,00-|          0,00 |       276,00-|          |     0,0 |               |
|3161    |6250000601 Primas de seguros de naves y almacenes            |BERG|6250000601|CONS|625001N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     13.073,30 |     10.554,98 |     2.518,32 |      23,9|    23,9 |               |
|3161    |6250000602 Primas de seguros de RC                           |BERG|6250000602|CONS|625002N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     15.136,81 |     15.286,27 |       149,46-|      1,0-|     1,0-|               |
|3161    |6250000605 Otras primas de seguros no operativas             |BERG|6250000605|CONS|625000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      4.054,14 |      4.362,84 |       308,70-|      7,1-|     7,1-|               |
|3161    |6250008631 Seguros de vida y salud                           |BERG|6250008631|CONS|625007N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      5.176,06 |      4.539,84 |       636,22 |      14,0|    14,0 |               |
|3161    |6260000360 Otros servicios bancarios                         |BERG|6260000360|CONS|626000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      1.415,18 |      1.514,89 |        99,71-|      6,6-|     6,6-|               |
|3161    |6260000361 Comisión de avales operativos                     |BERG|6260000361|CONS|626001N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     11.611,20 |     11.661,20 |        50,00-|      0,4-|     0,4-|               |
|3161    |6270008666 Relaciones Públicas y eventos                     |BERG|6270008666|CONS|627001N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |         83,70 |         83,70 |         0,00 |       0,0|     0,0 |               |
|3161    |6280000628 Otros Suministros Operativos                      |BERG|6280000628|CONS|628000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      8.085,79 |      7.630,45 |       455,34 |       6,0|     6,0 |               |
|3161    |6280008021 Suministro de electricidad operativa              |BERG|6280008021|CONS|628013N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     84.182,23 |    112.073,96 |    27.891,73-|     24,9-|    24,9-|               |
|3161    |6280060208 Comunicaciones voz móvil (S. Corporativos)        |BERG|6280060208|CONS|628006N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |        302,40 |        302,40 |         0,00 |       0,0|     0,0 |               |
|3161    |6280070201 Comunicaciones: datos                             |BERG|6280070201|CONS|628007N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |        623,68 |          0,00 |       623,68 |          |     0,0 |               |
|3161    |6280076126 Servicios Gestión LAN e Internet                  |BERG|6280076126|CONS|628007N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      4.435,20 |      4.435,20 |         0,00 |       0,0|     0,0 |               |
|3161    |6280086120 Servicios Gestionados Compartidos                 |BERG|6280086120|CONS|628008N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      3.384,00 |          0,00 |     3.384,00 |          |     0,0 |               |
|3161    |6280086121 Servicios Gestionados Dedicados                   |BERG|6280086121|CONS|628008N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |     14.528,16 |    14.528,16-|    100,0-|   100,0-|               |
|3161    |6280086137 Gestión BB.DD (BYCO)                              |BERG|6280086137|CONS|628008N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      6.768,00 |          0,00 |     6.768,00 |          |     0,0 |               |
|3161    |6280086138 Administración Básica de Aplicaciones (BYCO)      |BERG|6280086138|CONS|628008N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      3.841,92 |          0,00 |     3.841,92 |          |     0,0 |               |
|3161    |6280086241 Gestion de dominio                                |BERG|6280086241|CONS|628008N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |         67,20 |         67,20 |         0,00 |       0,0|     0,0 |               |
|3161    |6280116129 Especiales (X25, EDI, etc..) Propio               |BERG|6280116129|CONS|628011N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     33.405,54 |     33.369,14 |        36,40 |       0,1|     0,1 |               |
|3161    |6280126135 Servicios Gestionados Dedicados Propio            |BERG|6280126135|CONS|628012N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      5.548,26 |          0,00 |     5.548,26 |          |     0,0 |               |
|3161    |6290000155 Comidas de trabajo internas NR                    |BERG|6290000155|CONS|629008N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      1.437,95 |        848,70 |       589,25 |      69,4|    69,4 |               |
|3161    |6290000701 EPIs y Vestuarios                                 |BERG|6290000701|CONS|629000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     19.267,58 |     14.117,76 |     5.149,82 |      36,5|    36,5 |               |
|3161    |6290006131 Fungibles/Pequeño material informático            |BERG|6290006131|CONS|629025N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |         80,00 |     12.138,30 |    12.058,30-|     99,3-|    99,3-|               |
|3161    |6290006291 Multas y sanciones no operacionales               |BERG|6290006291|CONS|629000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |        103,54 |          0,00 |       103,54 |          |     0,0 |               |
|3161    |6290008020 Seguridad y vigilancia de la operativa            |BERG|6290008020|CONS|628003N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    104.698,18 |    110.682,87 |     5.984,69-|      5,4-|     5,4-|               |
|3161    |6290236132 Servicio de impresión                             |BERG|6290236132|CONS|629023N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |      3.980,23 |      3.405,08 |       575,15 |      16,9|    16,9 |               |
|3161    |6290250275 Documentos, impresos y material oficina           |BERG|6290250275|CONS|629009N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |         74,37 |         28,00 |        46,37 |     165,6|   165,6 |               |
|3161    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  2.804.296,77 |  3.326.970,22 |   522.673,45-|     15,7-|    15,7-|4              |
|3162    |Tributos                                                     |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3162    |6310000631 Otros Tributos Operativos                         |BERG|6310000631|CONS|631000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     48.082,75 |     48.133,24 |        50,49-|      0,1-|     0,1-|               |
|3162    |6310000840 Otros tributos                                    |BERG|6310000840|CONS|631000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |         32,50 |          0,00 |        32,50 |          |     0,0 |               |
|3162    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |     48.115,25 |     48.133,24 |        17,99-|       0,0|     0,0 |4              |
|3163    |Otros gastos de gestión corriente                            |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|3163    |6590000000 OTRAS PÉRDIDAS EN GESTIÓN CORRIENTE               |BERG|6590000000|CONS|659000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |          0,01 |         0,01-|    100,0-|   100,0-|               |
|3163    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |          0,00 |          0,01 |         0,01-|    100,0-|   100,0-|4              |
